The average error of the model on the 9 test images  is: 0.3298020660877228 Epoch [1/500], Step [5/5], Loss: 1.7379, loss_loc: 1.7379, loss_pos: 1.7379
The average error of the model on the 9 test images  is: 0.028455320745706558 Epoch [11/500], Step [5/5], Loss: 0.1235, loss_loc: 0.1235, loss_pos: 0.1235
The average error of the model on the 9 test images  is: 0.02846096269786358 Epoch [21/500], Step [5/5], Loss: 0.1158, loss_loc: 0.1158, loss_pos: 0.1158
The average error of the model on the 9 test images  is: 0.03295280411839485 Epoch [31/500], Step [5/5], Loss: 0.1124, loss_loc: 0.1124, loss_pos: 0.1124
The average error of the model on the 9 test images  is: 0.03136052191257477 Epoch [41/500], Step [5/5], Loss: 0.0938, loss_loc: 0.0938, loss_pos: 0.0938
The average error of the model on the 9 test images  is: 0.037526536732912064 Epoch [51/500], Step [5/5], Loss: 0.1070, loss_loc: 0.1070, loss_pos: 0.1070
The average error of the model on the 9 test images  is: 0.03377878665924072 Epoch [61/500], Step [5/5], Loss: 0.0729, loss_loc: 0.0729, loss_pos: 0.0729
The average error of the model on the 9 test images  is: 0.029450615867972374 Epoch [71/500], Step [5/5], Loss: 0.0702, loss_loc: 0.0702, loss_pos: 0.0702
The average error of the model on the 9 test images  is: 0.03662389516830444 Epoch [81/500], Step [5/5], Loss: 0.1025, loss_loc: 0.1025, loss_pos: 0.1025
The average error of the model on the 9 test images  is: 0.03564484417438507 Epoch [91/500], Step [5/5], Loss: 0.0644, loss_loc: 0.0644, loss_pos: 0.0644
The average error of the model on the 9 test images  is: 0.03341609239578247 Epoch [101/500], Step [5/5], Loss: 0.0673, loss_loc: 0.0673, loss_pos: 0.0673
The average error of the model on the 9 test images  is: 0.03289559856057167 Epoch [111/500], Step [5/5], Loss: 0.0754, loss_loc: 0.0754, loss_pos: 0.0754
The average error of the model on the 9 test images  is: 0.036138866096735 Epoch [121/500], Step [5/5], Loss: 0.0683, loss_loc: 0.0683, loss_pos: 0.0683
The average error of the model on the 9 test images  is: 0.035392407327890396 Epoch [131/500], Step [5/5], Loss: 0.0628, loss_loc: 0.0628, loss_pos: 0.0628
The average error of the model on the 9 test images  is: 0.036820776760578156 Epoch [141/500], Step [5/5], Loss: 0.0765, loss_loc: 0.0765, loss_pos: 0.0765
The average error of the model on the 9 test images  is: 0.03714562579989433 Epoch [151/500], Step [5/5], Loss: 0.0728, loss_loc: 0.0728, loss_pos: 0.0728
The average error of the model on the 9 test images  is: 0.03292374685406685 Epoch [161/500], Step [5/5], Loss: 0.0571, loss_loc: 0.0571, loss_pos: 0.0571
The average error of the model on the 9 test images  is: 0.03412696346640587 Epoch [171/500], Step [5/5], Loss: 0.0631, loss_loc: 0.0631, loss_pos: 0.0631
The average error of the model on the 9 test images  is: 0.03393688425421715 Epoch [181/500], Step [5/5], Loss: 0.0633, loss_loc: 0.0633, loss_pos: 0.0633
The average error of the model on the 9 test images  is: 0.03355841711163521 Epoch [191/500], Step [5/5], Loss: 0.0607, loss_loc: 0.0607, loss_pos: 0.0607
The average error of the model on the 9 test images  is: 0.034943439066410065 Epoch [201/500], Step [5/5], Loss: 0.0685, loss_loc: 0.0685, loss_pos: 0.0685
The average error of the model on the 9 test images  is: 0.03449517488479614 Epoch [211/500], Step [5/5], Loss: 0.0639, loss_loc: 0.0639, loss_pos: 0.0639
The average error of the model on the 9 test images  is: 0.034842219203710556 Epoch [221/500], Step [5/5], Loss: 0.0671, loss_loc: 0.0671, loss_pos: 0.0671
The average error of the model on the 9 test images  is: 0.035404473543167114 Epoch [231/500], Step [5/5], Loss: 0.0698, loss_loc: 0.0698, loss_pos: 0.0698
The average error of the model on the 9 test images  is: 0.03499417379498482 Epoch [241/500], Step [5/5], Loss: 0.0657, loss_loc: 0.0657, loss_pos: 0.0657
The average error of the model on the 9 test images  is: 0.03480729088187218 Epoch [251/500], Step [5/5], Loss: 0.0659, loss_loc: 0.0659, loss_pos: 0.0659
The average error of the model on the 9 test images  is: 0.03479479253292084 Epoch [261/500], Step [5/5], Loss: 0.0654, loss_loc: 0.0654, loss_pos: 0.0654
The average error of the model on the 9 test images  is: 0.03493734821677208 Epoch [271/500], Step [5/5], Loss: 0.0675, loss_loc: 0.0675, loss_pos: 0.0675
